0,0,0,Inf,0
0,0,1,0.52837,1.8926
0,0,2,0.26418,3.7852
0,0,3,0.17612,5.6778
0,0,4,0.13209,7.5705
0,0,5,0.10567,9.4631
0,1,0,0.63629,1.5716
0,1,1,0.40649,2.4601
0,1,2,0.24399,4.0985
0,1,3,0.16974,5.8913
0,1,4,0.12933,7.7319
0,1,5,0.10425,9.5927
0,2,0,0.31814,3.1432
0,2,1,0.27255,3.6691
0,2,2,0.20325,4.9202
0,2,3,0.15409,6.4898
0,2,4,0.122,8.1971
0,2,5,0.10029,9.9714
0,3,0,0.2121,4.7149
0,3,1,0.19683,5.0805
0,3,2,0.16539,6.0463
0,3,3,0.1355,7.3802
0,3,4,0.11213,8.9186
0,3,5,0.094584,10.573
0,4,0,0.15907,6.2865
0,4,1,0.15232,6.5652
0,4,2,0.13627,7.3381
0,4,3,0.11805,8.471
0,4,4,0.10162,9.8403
0,4,5,0.088021,11.361
0,5,0,0.12726,7.8581
0,5,1,0.12372,8.0828
0,5,2,0.11465,8.7223
0,5,3,0.10315,9.6947
0,5,4,0.091646,10.912
0,5,5,0.081298,12.3
1,0,0,0.63629,1.5716
1,0,1,0.40649,2.4601
1,0,2,0.24399,4.0985
1,0,3,0.16974,5.8913
1,0,4,0.12933,7.7319
1,0,5,0.10425,9.5927
1,1,0,0.36736,2.7221
1,1,1,0.30162,3.3154
1,1,2,0.21448,4.6624
1,1,3,0.15881,6.2967
1,1,4,0.1243,8.045
1,1,5,0.10156,9.8468
1,2,0,0.24049,4.1581
1,2,1,0.21889,4.5686
1,2,2,0.17784,5.623
1,2,3,0.14209,7.0376
1,2,4,0.11578,8.6372
1,2,5,0.096746,10.336
1,3,0,0.17647,5.6666
1,3,1,0.16738,5.9743
1,3,2,0.14675,6.8145
1,3,3,0.12466,8.0217
1,3,4,0.10575,9.4563
1,3,5,0.090662,11.03
1,4,0,0.13885,7.2021
1,4,1,0.13429,7.4466
1,4,2,0.12291,8.1362
1,4,3,0.10904,9.171
1,4,4,0.095703,10.449
1,4,5,0.08409,11.892
1,5,0,0.11428,8.7504
1,5,1,0.1117,8.9527
1,5,2,0.10489,9.534
1,5,3,0.095867,10.431
1,5,4,0.086425,11.571
1,5,5,0.077587,12.889
2,0,0,0.31814,3.1432
2,0,1,0.27255,3.6691
2,0,2,0.20325,4.9202
2,0,3,0.15409,6.4898
2,0,4,0.122,8.1971
2,0,5,0.10029,9.9714
2,1,0,0.24049,4.1581
2,1,1,0.21889,4.5686
2,1,2,0.17784,5.623
2,1,3,0.14209,7.0376
2,1,4,0.11578,8.6372
2,1,5,0.096746,10.336
2,2,0,0.18368,5.4443
2,2,1,0.1735,5.7638
2,2,2,0.15081,6.6308
2,2,3,0.12713,7.8662
2,2,4,0.10724,9.3248
2,2,5,0.091597,10.917
2,3,0,0.14597,6.8505
2,3,1,0.1407,7.1072
2,3,2,0.12777,7.8267
2,3,3,0.11239,8.8976
2,3,4,0.097944,10.21
2,3,5,0.085599,11.682
2,4,0,0.12025,8.3162
2,4,1,0.11725,8.5289
2,4,2,0.10944,9.1372
2,4,3,0.099308,10.07
2,4,4,0.088921,11.246
2,4,5,0.079378,12.598
2,5,0,0.10189,9.8148
2,5,1,0.10004,9.9956
2,5,2,0.095063,10.519
2,5,3,0.088193,11.339
2,5,4,0.080676,12.395
2,5,5,0.073347,13.634
3,0,0,0.2121,4.7149
3,0,1,0.19683,5.0805
3,0,2,0.16539,6.0463
3,0,3,0.1355,7.3802
3,0,4,0.11213,8.9186
3,0,5,0.094584,10.573
3,1,0,0.17647,5.6666
3,1,1,0.16738,5.9743
3,1,2,0.14675,6.8145
3,1,3,0.12466,8.0217
3,1,4,0.10575,9.4563
3,1,5,0.090662,11.03
3,2,0,0.14597,6.8505
3,2,1,0.1407,7.1072
3,2,2,0.12777,7.8267
3,2,3,0.11239,8.8976
3,2,4,0.097944,10.21
3,2,5,0.085599,11.682
3,3,0,0.12245,8.1664
3,3,1,0.11929,8.3828
3,3,2,0.1111,9.001
3,3,3,0.10054,9.9462
3,3,4,0.089802,11.136
3,3,5,0.080003,12.5
3,4,0,0.1046,9.5598
3,4,1,0.10261,9.7453
3,4,2,0.097258,10.282
3,4,3,0.089938,11.119
3,4,4,0.082005,12.194
3,4,5,0.074342,13.451
3,5,0,0.090898,11.001
3,5,1,0.089582,11.163
3,5,2,0.085953,11.634
3,5,3,0.080775,12.38
3,5,4,0.074881,13.354
3,5,5,0.068912,14.511
4,0,0,0.15907,6.2865
4,0,1,0.15232,6.5652
4,0,2,0.13627,7.3381
4,0,3,0.11805,8.471
4,0,4,0.10162,9.8403
4,0,5,0.088021,11.361
4,1,0,0.13885,7.2021
4,1,1,0.13429,7.4466
4,1,2,0.12291,8.1362
4,1,3,0.10904,9.171
4,1,4,0.095703,10.449
4,1,5,0.08409,11.892
4,2,0,0.12025,8.3162
4,2,1,0.11725,8.5289
4,2,2,0.10944,9.1372
4,2,3,0.099308,10.07
4,2,4,0.088921,11.246
4,2,5,0.079378,12.598
4,3,0,0.1046,9.5598
4,3,1,0.10261,9.7453
4,3,2,0.097258,10.282
4,3,3,0.089938,11.119
4,3,4,0.082005,12.194
4,3,5,0.074342,13.451
4,4,0,0.09184,10.889
4,4,1,0.090483,11.052
4,4,2,0.086748,11.528
4,4,3,0.081434,12.28
4,4,4,0.075405,13.262
4,4,5,0.069319,14.426
4,5,0,0.081468,12.275
4,5,1,0.080517,12.42
4,5,2,0.077851,12.845
4,5,3,0.073941,13.524
4,5,4,0.069341,14.422
